Partner,Year,Actual,Predicted,Model
IND,2008,7.0,10.787269070487215,Stacking
IND,2008,10.0,11.418967387136444,Stacking
IND,2008,6.46,9.00857777461465,Stacking
IND,2008,20.33,21.71565452921668,Stacking
IND,2008,4.22,6.345321685834633,Stacking
IND,2008,6.14,9.544715184458315,Stacking
IND,2008,10.0,11.334357731020628,Stacking
IND,2009,20.79,19.920287825619642,Stacking
IND,2009,10.0,9.445448839178923,Stacking
IND,2009,6.86,5.929736025566607,Stacking
IND,2009,7.17,6.1188478377759505,Stacking
IND,2009,5.19,3.9373430700545473,Stacking
IND,2009,10.0,10.06566422111658,Stacking
IND,2009,7.88,6.620264369014936,Stacking
IND,2010,7.67,7.875272801965221,Stacking
IND,2010,10.0,10.217723447647103,Stacking
IND,2010,4.18,5.036278091197443,Stacking
IND,2010,6.26,7.087988781456226,Stacking
IND,2010,6.03,6.693023838431274,Stacking
IND,2010,10.0,10.041614086230696,Stacking
IND,2010,24.37,21.182545303046112,Stacking
IND,2011,6.43,6.213580779498324,Stacking
IND,2011,6.21,6.388735395230162,Stacking
IND,2011,5.16,4.609145460208383,Stacking
IND,2011,10.0,10.3415803394645,Stacking
IND,2011,8.14,7.924821897471792,Stacking
IND,2011,26.45,25.147597023576783,Stacking
IND,2011,10.0,10.168826610139385,Stacking
IND,2012,8.14,8.093887363483056,Stacking
IND,2012,10.0,10.101895940155199,Stacking
IND,2012,6.43,6.347998346772235,Stacking
IND,2012,10.0,9.957570659439865,Stacking
IND,2012,5.14,5.3612526222037795,Stacking
IND,2012,26.84,27.001505555449842,Stacking
IND,2012,6.44,6.348346528242074,Stacking
IND,2013,10.0,9.85302027050253,Stacking
IND,2013,26.84,27.3951452877709,Stacking
IND,2013,6.43,6.253650260620068,Stacking
IND,2013,6.77,6.882383688337786,Stacking
IND,2013,5.14,5.271197977824421,Stacking
IND,2013,10.0,10.26905416620823,Stacking
IND,2013,8.14,7.977789340688406,Stacking
IND,2014,4.82,5.210408758327411,Stacking
IND,2014,6.75,6.924322652945377,Stacking
IND,2014,8.42,8.156558144866647,Stacking
IND,2014,10.0,10.224192137357758,Stacking
IND,2014,6.49,6.370262250641995,Stacking
IND,2014,15.86,25.650128757279774,Stacking
IND,2014,10.0,10.033138060807785,Stacking
IND,2015,10.0,10.130791474847753,Stacking
IND,2015,5.11,4.949128707224775,Stacking
IND,2015,6.69,7.119022323174302,Stacking
IND,2015,8.45,8.367436706918484,Stacking
IND,2015,10.0,9.94590833659431,Stacking
IND,2015,6.22,6.334460360937924,Stacking
IND,2015,16.32,15.755875689793333,Stacking
IND,2016,10.0,10.567834393877973,Stacking
IND,2016,7.05,7.570196413205581,Stacking
IND,2016,6.32,6.352844990954293,Stacking
IND,2016,10.0,10.256858776283952,Stacking
IND,2016,19.19,17.054001415748136,Stacking
IND,2016,6.84,5.7268958982784905,Stacking
IND,2016,8.28,8.586553366209593,Stacking
IND,2017,19.58,20.12412616242091,Stacking
IND,2017,6.11,6.844317871360062,Stacking
IND,2017,10.0,10.603402282170359,Stacking
IND,2017,8.42,8.906932481119126,Stacking
IND,2017,6.49,7.6480950241842365,Stacking
IND,2017,6.89,7.8861932582914,Stacking
IND,2017,10.0,10.57374001599385,Stacking
IND,2018,10.0,10.710765093920678,Stacking
IND,2018,8.56,8.836085947077121,Stacking
IND,2018,10.0,10.468732083920047,Stacking
IND,2018,6.1,6.417392215767417,Stacking
IND,2018,6.13,6.875728347256446,Stacking
IND,2018,15.42,19.00711737813901,Stacking
IND,2018,6.9,7.4612147777876725,Stacking
IND,2019,20.03,17.35584616843544,Stacking
IND,2019,7.1,7.960944505680913,Stacking
IND,2019,12.28,10.675250532408846,Stacking
IND,2019,9.06,8.97183002992772,Stacking
IND,2019,7.26,6.8478737738447295,Stacking
IND,2019,6.15,6.473611053467593,Stacking
IND,2019,18.8,11.70101199370771,Stacking
IND,2020,11.77,12.955089373333422,Stacking
IND,2020,6.92,8.36732154779466,Stacking
IND,2020,18.72,19.075736923350593,Stacking
IND,2020,6.05,6.305404858645962,Stacking
IND,2020,6.38,7.350312774508723,Stacking
IND,2020,23.73,21.668463829512085,Stacking
IND,2020,8.91,9.169038513586873,Stacking
IND,2021,9.18,9.20571048256929,Stacking
IND,2021,6.84,6.568238867566645,Stacking
IND,2021,22.84,19.609961725493548,Stacking
IND,2021,21.3,24.25867968173429,Stacking
IND,2021,7.09,7.226830470916875,Stacking
IND,2021,7.25,7.491703185832972,Stacking
IND,2021,11.21,12.05983058819712,Stacking
IND,2022,23.84,23.512660768943704,Stacking
IND,2022,6.75,6.967098567418898,Stacking
IND,2022,7.02,6.934997713573191,Stacking
IND,2022,11.66,11.210531703662323,Stacking
IND,2022,8.87,9.121904474582479,Stacking
IND,2022,7.14,7.677778546035205,Stacking
IND,2022,21.19,21.62889786328278,Stacking
IND,2023,8.46,9.124798449757293,Stacking
IND,2023,7.25,8.712881865153154,Stacking
IND,2023,11.81,12.809652028021098,Stacking
IND,2023,25.17,23.023990627507267,Stacking
IND,2023,8.55,6.077862422762087,Stacking
IND,2023,6.55,6.958054944954629,Stacking
IND,2023,24.31,24.747065367358815,Stacking
JPN,2006,3.24,3.2972693097347983,Stacking
JPN,2006,1.3,1.285221219896706,Stacking
JPN,2006,0.05,0.091119932814056,Stacking
JPN,2006,0.0,0.040193121276968,Stacking
JPN,2006,0.01,0.060935982182301895,Stacking
JPN,2006,1.27,1.3237272599807415,Stacking
JPN,2006,0.0,0.07569973631856974,Stacking
