Partner,Year,Actual,Predicted,Model,Actual_norm,Pred_norm
IND,2011,10.0,9.667270842849575,Stacking,0.2568402471315093,3.163629300372489e-06
IND,2011,8.14,6.871514418638554,Stacking,0.17475728155339812,2.8117774800450926e-06
IND,2011,26.45,25.18993761416785,Stacking,0.9827890556045896,5.117189529198661e-06
IND,2011,10.0,9.317909351548067,Stacking,0.2568402471315093,3.1196614226266947e-06
IND,2012,8.14,5.579717230230358,Stacking,0.17475728155339812,2.6492020896072416e-06
IND,2012,10.0,6.890266969348033,Stacking,0.2568402471315093,2.8141375279540494e-06
IND,2012,6.43,3.696787515446971,Stacking,0.09929390997352164,2.4122314286591784e-06
IND,2012,10.0,3.967985028713372,Stacking,0.2568402471315093,2.4463622055339823e-06
IND,2012,5.14,5.448391981754185,Stacking,0.042365401588702556,2.6326745311507395e-06
IND,2012,26.84,26.798586829809864,Stacking,1.0000000000000002,5.319641413021699e-06
IND,2012,6.44,3.344836390862639,Stacking,0.09973521624007062,2.3679376401234982e-06
IND,2013,10.0,8.196488881334687,Stacking,0.2568402471315093,2.9785283001629472e-06
IND,2013,26.84,1.1916138742086702,Stacking,1.0000000000000002,2.096950062130741e-06
IND,2013,6.43,8.727118761397605,Stacking,0.09929390997352164,3.045309185508828e-06
IND,2013,6.77,6.066543646229263,Stacking,0.11429832303618712,2.710470216962441e-06
IND,2013,5.14,5.351334650688372,Stacking,0.042365401588702556,2.6204596621028172e-06
IND,2013,10.0,10.133186009815148,Stacking,0.2568402471315093,3.222265703098897e-06
IND,2013,8.14,10.34101360097037,Stacking,0.17475728155339812,3.2484212421254624e-06
IND,2014,4.82,4.907336669113743,Stacking,0.028243601059135065,2.5645815832094422e-06
IND,2014,6.75,6.043825146512626,Stacking,0.11341571050308916,2.7076110460378274e-06
IND,2014,8.42,7.747185511539637,Stacking,0.18711385701676966,2.921982527014546e-06
IND,2014,10.0,9.132256051488424,Stacking,0.2568402471315093,3.0962965647263114e-06
IND,2014,6.49,5.995187431067961,Stacking,0.10194174757281557,2.7014898873533395e-06
IND,2014,15.86,25.63580428692148,Stacking,0.5154457193292145,5.1733027868033386e-06
IND,2014,10.0,9.189764716601957,Stacking,0.2568402471315093,3.103534151065939e-06
IND,2015,10.0,9.148290206070069,Stacking,0.2568402471315093,3.0983144967707865e-06
IND,2015,5.11,3.5335338575121646,Stacking,0.041041482789055644,2.391685612785509e-06
IND,2015,6.69,5.2488056122870965,Stacking,0.11076787290379528,2.607556167189777e-06
IND,2015,8.45,7.34720117329525,Stacking,0.1884377758164166,2.8716436576141286e-06
IND,2015,10.0,10.14174868846049,Stacking,0.2568402471315093,3.223343334197998e-06
IND,2015,6.22,4.558087439518253,Stacking,0.09002647837599295,2.5206278338352305e-06
IND,2015,16.32,15.54728512478935,Stacking,0.5357458075904679,3.903641452624076e-06
IND,2016,10.0,10.192642724934212,Stacking,0.2568402471315093,3.2297484556248912e-06
IND,2016,7.05,6.331501885426874,Stacking,0.12665489849955872,2.7438157680859547e-06
IND,2016,6.32,5.573796498752618,Stacking,0.0944395410414828,2.6484569531103453e-06
IND,2016,10.0,9.52618306547946,Stacking,0.2568402471315093,3.145873107142018e-06
IND,2016,19.19,15.11718594221163,Stacking,0.6624007060900265,3.849512566788107e-06
IND,2016,6.84,4.450174106810547,Stacking,0.11738746690203003,2.507046714170445e-06
IND,2016,8.28,7.726295185478386,Stacking,0.18093556928508384,2.919353435585754e-06
IND,2017,19.58,17.609469872103997,Stacking,0.6796116504854368,4.163171736060271e-06
IND,2017,6.11,5.0511095009619975,Stacking,0.08517210944395412,2.5826756961877247e-06
IND,2017,10.0,9.282101495464644,Stacking,0.2568402471315093,3.1151549287004474e-06
IND,2017,8.42,6.919141587656824,Stacking,0.18711385701676966,2.8177714593384954e-06
IND,2017,6.49,5.145118781899891,Stacking,0.10194174757281557,2.5945069617225975e-06
IND,2017,6.89,5.265118260938802,Stacking,0.11959399823477493,2.6096091482981307e-06
IND,2017,10.0,8.30142392693175,Stacking,0.2568402471315093,2.991734596136991e-06
IND,2018,10.0,9.373200926731826,Stacking,0.2568402471315093,3.126619983540192e-06
IND,2018,8.56,7.871302023821926,Stacking,0.1932921447484555,2.9376028508743167e-06
IND,2018,10.0,9.052266586181808,Stacking,0.2568402471315093,3.086229722446555e-06
IND,2018,6.1,5.7250290032560365,Stacking,0.08473080317740514,2.6674898815662694e-06
IND,2018,6.13,5.837628911373147,Stacking,0.08605472197705208,2.6816608165935882e-06
IND,2018,15.42,16.904493752381548,Stacking,0.4960282436010591,4.07444901012334e-06
IND,2018,6.9,5.815744803333814,Stacking,0.12003530450132396,2.678906655614756e-06
IND,2019,20.03,14.16458252187196,Stacking,0.6994704324801413,3.729625424763134e-06
IND,2019,7.1,6.204969595487163,Stacking,0.12886142983230361,2.7278914135320543e-06
