Partner,HS code,Product Name,Year,TariffRate
Argentina,73,ARTICLES OF IRON OR STEEL,2006,15.86
Argentina,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2005,17.99
Argentina,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2007,16.93
Australia,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2006,2.08
Austria,39,PLASTICS AND ARTICLES THEREOF,2006,5.71
Austria,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2006,4.32
"Bahamas, The",85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2006,29.26
Bahrain,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2005,4.99
Bahrain,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2005,5
Bangladesh,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2005,5.31
Bangladesh,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2007,19.62
Armenia,39,PLASTICS AND ARTICLES THEREOF,2007,5.05
Armenia,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2006,0.92
Armenia,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2008,0
Barbados,39,PLASTICS AND ARTICLES THEREOF,2011,11.96
Barbados,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2007,6.62
Barbados,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2005,12.45
Barbados,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2010,7.24
Belgium,39,PLASTICS AND ARTICLES THEREOF,2006,5.84
Belgium,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2006,4.8
Bolivia,73,ARTICLES OF IRON OR STEEL,2005,9.66
Bolivia,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2007,7.4
Bolivia,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2006,10
Bosnia and Herzegovina,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2006,5.45
Botswana,39,PLASTICS AND ARTICLES THEREOF,2005,9.2
Botswana,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2005,5.11
Brazil,73,ARTICLES OF IRON OR STEEL,2005,15.79
Brazil,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2005,10.5
Belize,73,ARTICLES OF IRON OR STEEL,2007,8.29
