Partner,HS code,Product Name,Year,TariffRate
Mauritius,73,ARTICLES OF IRON OR STEEL,2017,0.21
Mauritius,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2020,0
Mauritius,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2018,0.84
Mauritius,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2021,0
Mexico,73,ARTICLES OF IRON OR STEEL,2022,1.84
Mexico,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2022,3.78
Mongolia,39,PLASTICS AND ARTICLES THEREOF,2021,5
Mongolia,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2019,4.82
Mongolia,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2017,5
Mongolia,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2020,2.99
Moldova,39,PLASTICS AND ARTICLES THEREOF,2021,5.11
Moldova,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2021,1.98
Moldova,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2021,0.22
Moldova,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2021,7.18
Montenegro,73,ARTICLES OF IRON OR STEEL,2017,5.86
Montenegro,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2020,0.49
Montenegro,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2018,3.2
Montenegro,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2021,0.08
Montserrat,73,ARTICLES OF IRON OR STEEL,2022,14.28
Montserrat,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2022,4.28
Morocco,39,PLASTICS AND ARTICLES THEREOF,2021,7.62
Morocco,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2019,4.65
Morocco,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2017,10.82
Morocco,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2020,2.74
Mozambique,39,PLASTICS AND ARTICLES THEREOF,2019,8.85
Mozambique,73,ARTICLES OF IRON OR STEEL,2022,10.11
Mozambique,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2020,6.88
Mozambique,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2018,6.95
Mozambique,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2021,19.8
Oman,73,ARTICLES OF IRON OR STEEL,2018,5
Oman,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2021,4.56
Oman,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2021,5
Oman,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2019,5
Namibia,73,ARTICLES OF IRON OR STEEL,2017,6.91
Namibia,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2020,1.55
Namibia,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2018,13.05
Namibia,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2021,0.46
Nauru,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2019,25
Nauru,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2021,10
Nepal,73,ARTICLES OF IRON OR STEEL,2019,17.72
Nepal,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2017,2.48
Nepal,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2020,28.64
Nepal,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2018,15.8
Netherlands,39,PLASTICS AND ARTICLES THEREOF,2021,5.89
Netherlands,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2019,0.73
Netherlands,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2017,4.75
Netherlands,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2020,0.06
Vanuatu,39,PLASTICS AND ARTICLES THEREOF,2018,14
Vanuatu,73,ARTICLES OF IRON OR STEEL,2022,10
Vanuatu,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2020,1.86
Vanuatu,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2017,1.29
Vanuatu,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2021,15
New Zealand,73,ARTICLES OF IRON OR STEEL,2018,4.06
New Zealand,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2021,1.65
New Zealand,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2019,4.75
New Zealand,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2017,4.38
Nicaragua,39,PLASTICS AND ARTICLES THEREOF,2020,5.62
Nicaragua,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2018,2.01
Nicaragua,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2021,2.03
Nicaragua,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2019,0.19
Niger,39,PLASTICS AND ARTICLES THEREOF,2017,12.22
Niger,73,ARTICLES OF IRON OR STEEL,2020,17.2
Niger,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2018,8.26
Niger,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2021,7.96
Niger,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2019,14.92
Nigeria,73,ARTICLES OF IRON OR STEEL,2021,10.68
Nigeria,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2020,13.67
Norway,39,PLASTICS AND ARTICLES THEREOF,2017,0
Montserrat,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2021,9.9
Mozambique,39,PLASTICS AND ARTICLES THEREOF,2015,11.02
Mozambique,73,ARTICLES OF IRON OR STEEL,2014,7.62
Mozambique,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2013,5.3
Mozambique,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2012,8.06
Mozambique,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2011,5.54
Mozambique,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2010,6.02
Mozambique,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2009,19.95
Oman,39,PLASTICS AND ARTICLES THEREOF,2007,5
Oman,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2009,4.91
Oman,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2007,5
Namibia,73,ARTICLES OF IRON OR STEEL,2007,6.65
Namibia,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2010,1.56
Namibia,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2008,13.85
Namibia,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2011,0.02
Nepal,39,PLASTICS AND ARTICLES THEREOF,2009,13.11
Nepal,73,ARTICLES OF IRON OR STEEL,2011,15.51
Nepal,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2007,7.14
Nepal,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2009,64.3
Nepal,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2011,5.21
Netherlands,39,PLASTICS AND ARTICLES THEREOF,2007,4.43
Netherlands,73,ARTICLES OF IRON OR STEEL,2010,2.4
Netherlands,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2008,0.63
Netherlands,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2011,4.56
Netherlands,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2009,1.3
Aruba,73,ARTICLES OF IRON OR STEEL,2013,6.31
Aruba,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2012,22.45
Vanuatu,39,PLASTICS AND ARTICLES THEREOF,2012,21.93
New Zealand,39,PLASTICS AND ARTICLES THEREOF,2008,2.59
New Zealand,73,ARTICLES OF IRON OR STEEL,2011,3.59
New Zealand,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2009,2.97
New Zealand,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2007,1.02
New Zealand,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2010,4.22
Nicaragua,73,ARTICLES OF IRON OR STEEL,2008,5.22
Nicaragua,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2011,2.03
Nicaragua,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2009,3.81
Nicaragua,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2007,12.87
Niger,39,PLASTICS AND ARTICLES THEREOF,2010,7.75
Niger,73,ARTICLES OF IRON OR STEEL,2010,19.42
Niger,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2010,5.96
Niger,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2010,5.52
Niger,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2010,7.19
Niger,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2010,4.95
Niger,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2010,19.77
Nigeria,39,PLASTICS AND ARTICLES THEREOF,2012,5.77
Nigeria,73,ARTICLES OF IRON OR STEEL,2014,13.57
Nigeria,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2010,8.51
Nigeria,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2012,15.93
Nigeria,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2014,5.6
Norway,39,PLASTICS AND ARTICLES THEREOF,2008,0
Norway,73,ARTICLES OF IRON OR STEEL,2011,0
Norway,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2009,0
Norway,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2007,0
Norway,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2010,0
Pakistan,73,ARTICLES OF IRON OR STEEL,2010,18.25
Pakistan,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2010,8.9
Pakistan,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2010,6.64
Panama,39,PLASTICS AND ARTICLES THEREOF,2010,3
Panama,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2010,5.26
Panama,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2010,10.68
Panama,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2010,13.29
Papua New Guinea,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2008,0
Papua New Guinea,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2010,0.9
Paraguay,39,PLASTICS AND ARTICLES THEREOF,2009,5.9
Paraguay,73,ARTICLES OF IRON OR STEEL,2012,10.61
Paraguay,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2010,5.2
Paraguay,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2008,3.32
Paraguay,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2011,14.33
Peru,73,ARTICLES OF IRON OR STEEL,2010,1.53
Peru,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2010,1
Peru,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2010,0.85
Philippines,39,PLASTICS AND ARTICLES THEREOF,2010,10.48
Philippines,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2008,1.61
Philippines,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2011,1.58
Philippines,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2009,1.25
Philippines,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2012,9.25
Poland,73,ARTICLES OF IRON OR STEEL,2009,2.58
Poland,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2007,1.36
Poland,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2010,7.02
Poland,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2008,1.37
Portugal,39,PLASTICS AND ARTICLES THEREOF,2011,5.68
Portugal,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2009,1.2
Portugal,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2007,5.18
Portugal,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2010,0.81
Guinea-Bissau,39,PLASTICS AND ARTICLES THEREOF,2008,20
Guinea-Bissau,73,ARTICLES OF IRON OR STEEL,2010,5
Guinea-Bissau,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2011,11.26
Guinea-Bissau,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2011,6.29
Guinea-Bissau,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2011,20
Guinea-Bissau,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2012,9.03
Guinea-Bissau,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2014,20
East Timor,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2013,2.5
East Timor,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2011,2.5
East Timor,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2014,2.5
Qatar,39,PLASTICS AND ARTICLES THEREOF,2011,5
Qatar,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2009,4.87
Qatar,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2007,5
Qatar,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2010,3.85
Romania,39,PLASTICS AND ARTICLES THEREOF,2008,5.39
Romania,73,ARTICLES OF IRON OR STEEL,2011,2.88
Romania,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2009,1.17
Romania,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2007,1.05
Romania,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2010,1.81
Russian Federation,73,ARTICLES OF IRON OR STEEL,2008,12.03
Russian Federation,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2011,2.46
Russian Federation,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2009,8.02
Russian Federation,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2007,15.23
Rwanda,39,PLASTICS AND ARTICLES THEREOF,2011,23.78
Rwanda,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2011,1.23
Rwanda,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2011,16.1
Rwanda,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2011,19.37
St. Kitts and Nevis,39,PLASTICS AND ARTICLES THEREOF,2017,13.17
St. Kitts and Nevis,73,ARTICLES OF IRON OR STEEL,2015,18.32
St. Kitts and Nevis,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2013,9.73
St. Kitts and Nevis,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2011,8.74
St. Kitts and Nevis,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2019,8.57
St. Kitts and Nevis,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2017,23.86
St. Kitts and Nevis,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2015,9.25
St. Kitts and Nevis,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2013,18.64
Anguila,39,PLASTICS AND ARTICLES THEREOF,2013,18.55
Anguila,73,ARTICLES OF IRON OR STEEL,2014,15
Anguila,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2015,21.59
Anguila,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2016,25.13
Anguila,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2017,25.67
Anguila,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2018,19.34
St. Lucia,39,PLASTICS AND ARTICLES THEREOF,2012,11.16
St. Lucia,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2014,3.87
St. Lucia,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2013,7.44
St. Vincent and the Grenadines,39,PLASTICS AND ARTICLES THEREOF,2015,11.41
St. Vincent and the Grenadines,73,ARTICLES OF IRON OR STEEL,2012,9.89
St. Vincent and the Grenadines,73,ARTICLES OF IRON OR STEEL,2020,11.53
St. Vincent and the Grenadines,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2017,7.05
St. Vincent and the Grenadines,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2014,10.99
St. Vincent and the Grenadines,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2022,11.12
St. Vincent and the Grenadines,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2019,18.22
St. Vincent and the Grenadines,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2016,7.54
St. Vincent and the Grenadines,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2013,19.21
St. Vincent and the Grenadines,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2021,17.51
Sao Tome and Principe,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2013,10.49
Saudi Arabia,39,PLASTICS AND ARTICLES THEREOF,2010,6.04
Saudi Arabia,73,ARTICLES OF IRON OR STEEL,2018,5
Saudi Arabia,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2007,3.58
Saudi Arabia,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2008,5
Saudi Arabia,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2009,5
Saudi Arabia,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2016,10.7
Senegal,39,PLASTICS AND ARTICLES THEREOF,2013,5.67
Senegal,73,ARTICLES OF IRON OR STEEL,2013,17.84
Senegal,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2013,5.58
Senegal,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2013,5.81
Senegal,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2013,15.49
Senegal,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2013,7.06
Senegal,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2013,19.98
Seychelles,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2015,0
Seychelles,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2017,1.74
Sierra Leone,39,PLASTICS AND ARTICLES THEREOF,2011,15.47
Sierra Leone,73,ARTICLES OF IRON OR STEEL,2012,18.34
Sierra Leone,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2013,8.6
Sierra Leone,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2014,10.29
Sierra Leone,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2015,13.43
Sierra Leone,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2016,4.78
Singapore,39,PLASTICS AND ARTICLES THEREOF,2008,0
Singapore,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2008,0
Singapore,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2008,0
Singapore,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2008,0
Slovak Republic,39,PLASTICS AND ARTICLES THEREOF,2011,5.6
Slovak Republic,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2009,1.13
Slovak Republic,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2007,8.73
Slovak Republic,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2010,0.82
Vietnam,39,PLASTICS AND ARTICLES THEREOF,2009,2.23
Vietnam,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2008,4.5
Vietnam,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2010,0.13
Slovenia,39,PLASTICS AND ARTICLES THEREOF,2011,5.92
Slovenia,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2009,2.38
Slovenia,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2007,9.13
Slovenia,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2010,0.54
South Africa,39,PLASTICS AND ARTICLES THEREOF,2008,5.52
South Africa,73,ARTICLES OF IRON OR STEEL,2011,5.9
South Africa,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2009,5.09
South Africa,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2007,0.07
South Africa,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2010,10.81
Zimbabwe,73,ARTICLES OF IRON OR STEEL,2011,21.99
Zimbabwe,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2011,6.6
Zimbabwe,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2011,3.66
Spain,39,PLASTICS AND ARTICLES THEREOF,2009,5.28
Spain,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2007,1.23
Spain,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2010,1.23
Spain,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2008,0.54
Spain,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2011,1.4
Fm Sudan,73,ARTICLES OF IRON OR STEEL,2011,10.05
Fm Sudan,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2011,21.57
Fm Sudan,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2011,0.29
Suriname,39,PLASTICS AND ARTICLES THEREOF,2013,8.51
Suriname,39,PLASTICS AND ARTICLES THEREOF,2022,9.85
Suriname,73,ARTICLES OF IRON OR STEEL,2016,6.82
Suriname,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2010,6.13
Suriname,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2020,5.74
Suriname,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2014,9.27
Suriname,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2023,8.73
Suriname,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2018,14.28
Suriname,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2012,6.48
Suriname,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2021,6.84
Suriname,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2015,13.28
Eswatini,39,PLASTICS AND ARTICLES THEREOF,2007,11.48
Eswatini,73,ARTICLES OF IRON OR STEEL,2010,10.41
Eswatini,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2008,1.58
Eswatini,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2011,8.4
Eswatini,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2009,20
Sweden,73,ARTICLES OF IRON OR STEEL,2007,2.21
Sweden,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2010,1.38
Sweden,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2008,6.61
Sweden,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2011,0.37
Switzerland,39,PLASTICS AND ARTICLES THEREOF,2009,0
Switzerland,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2007,0
Switzerland,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2010,0
Switzerland,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2008,0
Switzerland,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2011,0
Syrian Arab Republic,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2010,12.17
Tajikistan,39,PLASTICS AND ARTICLES THEREOF,2012,10
Tajikistan,73,ARTICLES OF IRON OR STEEL,2013,5
Tajikistan,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2014,4.34
Tajikistan,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2015,4.89
Tajikistan,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2017,5
Tajikistan,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2011,6.35
Thailand,39,PLASTICS AND ARTICLES THEREOF,2008,4.91
Thailand,73,ARTICLES OF IRON OR STEEL,2011,10.02
Thailand,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2009,2.77
Thailand,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2007,2.64
Thailand,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2010,18.89
Togo,39,PLASTICS AND ARTICLES THEREOF,2013,5
Togo,73,ARTICLES OF IRON OR STEEL,2013,14.3
Togo,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2013,5.39
Togo,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2013,9.75
Togo,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2013,18.35
